idx	name	unmapped	call_count	categories	first_line	first_context
224	L_ARM_SIGNAL		1	var-assign	1716	fVar35 = (float)FUN_1400a5e00(local_508,0xe0);
225	L_ARM_FTOB_REACT		1	var-assign	1720	fVar35 = (float)FUN_1400a5e00(local_508,0xe1);
226	L_ARM_FTOB_EVENT		1	var-assign	1724	fVar35 = (float)FUN_1400a5e00(local_508,0xe2);
227	L_ARM_BTOF_REACT		1	var-assign	1728	fVar35 = (float)FUN_1400a5e00(local_508,0xe3);
228	L_ARM_BTOF_EVENT		1	var-assign	1732	fVar35 = (float)FUN_1400a5e00(local_508,0xe4);
229	L_TAIL_SIGNAL		1	var-assign	1544	fVar35 = (float)FUN_1400a5e00(local_508,0xe5);
230	L_TAIL_FTOB_REACT		1	var-assign	1548	fVar35 = (float)FUN_1400a5e00(local_508,0xe6);
231	L_TAIL_FTOB_EVENT		1	var-assign	1552	fVar35 = (float)FUN_1400a5e00(local_508,0xe7);
232	L_TAIL_BTOF_REACT		1	var-assign	1556	fVar35 = (float)FUN_1400a5e00(local_508,0xe8);
233	L_TAIL_BTOF_EVENT		1	var-assign	1560	fVar35 = (float)FUN_1400a5e00(local_508,0xe9);
234	L_NECK_SIGNAL		1	var-assign	2070	fVar39 = (float)FUN_1400a5e00(local_508,0xea);
235	L_NECK_FTOB_REACT		1	var-assign	2074	fVar39 = (float)FUN_1400a5e00(local_508,0xeb);
236	L_NECK_FTOB_EVENT		1	var-assign	2078	fVar39 = (float)FUN_1400a5e00(local_508,0xec);
237	L_NECK_BTOF_REACT		1	var-assign	2082	fVar39 = (float)FUN_1400a5e00(local_508,0xed);
238	L_NECK_BTOF_EVENT		1	var-assign	2086	fVar39 = (float)FUN_1400a5e00(local_508,0xee);
239	LOCO_SYNC	Y	1	var-assign	1690	iVar16 = FUN_1400a5e00(local_508,0xef);
